pedestrianID,current_time,current_linkID,current_velocity
ag10824,12:00:00,_y474,0.0
ag10824,12:00:10,_y474,1.0107533673780766
ag10824,12:00:20,_y474,1.0127196894579742
ag10824,12:00:30,_y474,1.014324644856522
ag10824,12:00:40,_y474,1.015547125884852
ag10824,12:00:50,_y474,1.0164824877149292
ag10824,12:01:00,_y474,1.0172122714339653
ag10824,12:01:10,_y474,1.017793906539734
ag10824,12:01:20,_y474,1.0182666778223386
ag10824,12:01:30,_y474,1.018657690894414
ag10824,12:01:40,_y474,1.018986009011681
ag10824,12:01:50,_y474,1.019265329117319
ag10824,12:02:00,_y474,1.0195056999043988
ag10824,12:02:10,_y474,1.019714637902443
ag10824,12:02:20,_y474,1.0198978658630442
ag10824,12:02:30,_y474,1.0200598111270474
ag10824,12:02:40,_y474,1.020203948724845
ag10824,12:02:50,_y474,1.0203330420813452
ag10824,12:03:00,_y474,1.0204493148875604
ag10824,12:03:10,_y474,1.0205545758428396
ag10824,12:03:20,_y474,1.020650310565295
ag10824,12:03:30,_y474,1.0207377502582446
ag10824,12:03:40,_y474,1.0208179226579208
ag10824,12:03:50,_y474,0.0
ag10824,12:04:00,_y474,0.0
ag10824,12:04:10,_y474,0.0
ag10824,12:04:20,_y474,0.0
ag10824,12:04:30,_y474,0.0
ag10824,12:04:40,_y474,0.0
ag10824,12:04:50,_y474,0.0
ag10824,12:05:00,_y474,0.0
ag10824,12:05:10,_y474,0.0
ag10824,12:05:20,_y474,0.0
ag10824,12:05:30,_y474,0.8755543418741348
ag10824,12:05:40,_y474,0.0
ag10824,12:05:50,_y474,0.0
ag10824,12:06:00,_y474,0.0
ag10824,12:06:10,_y474,0.0
ag10824,12:06:20,_y474,0.3218633477137884
ag10824,12:06:30,_y474,0.0
ag10824,12:06:40,_y474,0.0
ag10824,12:06:50,_y474,0.0
ag10824,12:07:00,_y474,0.0
ag10824,12:07:10,_y474,0.8075667624691216
ag10824,12:07:20,_y474,0.0
ag10824,12:07:30,_y474,0.0462600598125503
ag10824,12:07:40,_y474,0.0
ag10824,12:07:50,_y474,0.0
ag10824,12:08:00,_y474,0.0
ag10824,12:08:10,_y474,0.0
ag10824,12:08:20,_y474,0.4243039869379695
ag10824,12:08:30,_y474,0.0
ag10824,12:08:40,_y474,0.0
ag10824,12:08:50,_y474,0.9185436584960353
ag10824,12:09:00,_y474,0.0
ag10824,12:09:10,_y474,0.0
ag10824,12:09:20,_y474,0.0
ag10824,12:09:30,_y474,0.578275501448452
ag10824,12:09:40,_y474,0.0
ag10824,12:09:50,_y474,0.0
ag10824,12:10:00,_y474,0.0
ag10824,12:10:10,_y474,0.0
ag10824,12:10:20,_y474,0.0
ag10824,12:10:30,_y474,0.0
ag10824,12:10:40,_y474,0.0
ag10824,12:10:50,_y474,0.6915831188526628
ag10824,12:11:00,_y489,0.8605424709186653
ag10824,12:11:10,_y489,0.8295788959874728
ag10824,12:11:20,_y489,0.9039254113003248
ag10824,12:11:30,_y489,0.7994965108798259
ag10824,12:11:40,_y489,0.5953291043602119
ag10824,12:11:50,_y489,0.6173095854299734
ag10824,12:12:00,_y489,0.0
ag10824,12:12:10,_y489,0.0
ag10824,12:12:20,_y489,0.0
ag10824,12:12:30,_y489,0.578760136795154
ag10824,12:12:40,_y499,0.7928748420409721
ag10824,12:12:50,_y499,0.8059008329061202
ag10824,12:13:00,_y499,0.805156558012383
ag10824,12:13:10,_y499,0.8049531048290886
ag10824,12:13:20,_y499,0.9185288564342592
