pedestrianID,current_time,current_linkID,current_velocity
ag02315,12:00:00,_y740,0.0
ag02315,12:00:10,_y740,1.0099746527781202
ag02315,12:00:20,_y740,1.0108382140399037
ag02315,12:00:30,_y740,1.01200073485319
ag02315,12:00:40,_y740,1.013143369676393
ag02315,12:00:50,_y737,1.0141536788886347
ag02315,12:01:00,_y737,1.015014629985182
ag02315,12:01:10,_y737,1.015741155900637
ag02315,12:01:20,_y737,1.0163550991922672
ag02315,12:01:30,_y739,1.016877028371378
ag02315,12:01:40,_y739,1.0173241750547055
ag02315,12:01:50,_y739,1.0177103860002996
ag02315,12:02:00,_y739,1.018046632986906
ag02315,12:02:10,_y739,1.0183415927733548
ag02315,12:02:20,_y739,1.0186021527726483
ag02315,12:02:30,_y739,1.0188339088802123
