pedestrianID,current_time,current_linkID,current_velocity
ag04386,12:00:00,_y425,0.0
ag04386,12:00:10,_y425,1.0096572884179356
ag04386,12:00:20,_y425,1.0105750753134104
ag04386,12:00:30,_y425,1.0117949140937748
ag04386,12:00:40,_y425,1.0129823282156625
ag04386,12:00:50,_y425,1.0140250412944314
ag04386,12:01:00,_y425,1.0149092701828435
ag04386,12:01:10,_y425,1.015652797946187
ag04386,12:01:20,_y065,0.9205019615279992
ag04386,12:01:30,_y065,0.994523201470982
ag04386,12:01:40,_y065,0.9991836713772572
ag04386,12:01:50,_y064,0.9687182205181538
ag04386,12:02:00,_y064,0.9796979232752362
ag04386,12:02:10,_y064,0.9841616902528728
ag04386,12:02:20,_y064,0.982043525793464
ag04386,12:02:30,_y064,0.9790531946210724
ag04386,12:02:40,_y029,0.979487051621434
ag04386,12:02:50,_y029,0.0
ag04386,12:03:00,_y030,0.9443843765536658
ag04386,12:03:10,_y030,0.9572043154143294
ag04386,12:03:20,_y030,0.9676493264022308
ag04386,12:03:30,_y030,0.97465395144857
ag04386,12:03:40,_y030,0.979859707354002
ag04386,12:03:50,_y030,0.8151724993284128
ag04386,12:04:00,_y030,0.8589449683046378
ag04386,12:04:10,_y030,0.9536960894051796
ag04386,12:04:20,_y030,0.0
ag04386,12:04:30,_y030,0.0
ag04386,12:04:40,_y030,0.0
ag04386,12:04:50,_y030,0.0
ag04386,12:05:00,_y030,0.0
ag04386,12:05:10,_y030,0.0
ag04386,12:05:20,_y030,0.0
ag04386,12:05:30,_y030,0.0
ag04386,12:05:40,_y030,0.0
ag04386,12:05:50,_y030,0.0
ag04386,12:06:00,_y030,0.0
ag04386,12:06:10,_y030,0.0
ag04386,12:06:20,_y030,0.0
ag04386,12:06:30,_y030,0.0
ag04386,12:06:40,_y030,0.0
ag04386,12:06:50,_y030,0.0
ag04386,12:07:00,_y030,0.0
ag04386,12:07:10,_y030,0.0
ag04386,12:07:20,_y030,0.0
ag04386,12:07:30,_y030,0.0
ag04386,12:07:40,_y030,0.0
ag04386,12:07:50,_y030,0.0
ag04386,12:08:00,_y030,0.0
ag04386,12:08:10,_y030,0.4446216635747645
ag04386,12:08:20,_y030,0.0
ag04386,12:08:30,_y030,0.0
ag04386,12:08:40,_y030,0.0
ag04386,12:08:50,_y030,0.0
ag04386,12:09:00,_y030,0.0
ag04386,12:09:10,_y030,0.0
ag04386,12:09:20,_y030,0.4935953669849334
ag04386,12:09:30,_y030,0.0
