pedestrianID,current_time,current_linkID,current_velocity
ag12360,12:00:00,_y494,0.0
ag12360,12:00:10,_y494,0.0
ag12360,12:00:20,_y494,0.0
ag12360,12:00:30,_y494,0.0
ag12360,12:00:40,_y494,1.0097148724557732
ag12360,12:00:50,_y494,1.0097817390822057
ag12360,12:01:00,_y494,1.009781739088443
ag12360,12:01:10,_y494,1.009781739199791
ag12360,12:01:20,_y494,1.009781740315096
ag12360,12:01:30,_y494,1.0097817476976407
ag12360,12:01:40,_y494,1.0097817834362668
ag12360,12:01:50,_y494,1.0097819188302908
ag12360,12:02:00,_y494,1.0097938107079865
ag12360,12:02:10,_y1051,1.0121632186687293
ag12360,12:02:20,_y1051,1.0128386729443046
ag12360,12:02:30,_y1051,1.0131505364238578
ag12360,12:02:40,_y1051,1.0132786679562
ag12360,12:02:50,_y1051,1.013314271430552
ag12360,12:03:00,_y1051,1.0133112735555398
ag12360,12:03:10,_y1051,1.01330391726515
ag12360,12:03:20,_y1051,1.01329199407936
