Iteration,random-search_653_+3_ave3
1,1967.3333333333333
2,1843.3333333333333
3,1843.3333333333333
4,1843.3333333333333
5,1813.3333333333333
6,1813.0
7,1813.0
8,1812.0
9,1804.6666666666667
10,1804.6666666666667
11,1804.6666666666667
12,1804.6666666666667
13,1804.6666666666667
14,1804.6666666666667
15,1804.0
16,1804.0
17,1804.0
18,1804.0
19,1803.6666666666667
20,1803.6666666666667
21,1790.6666666666667
22,1772.6666666666667
23,1771.6666666666667
24,1771.6666666666667
25,1771.6666666666667
26,1771.6666666666667
27,1771.6666666666667
28,1771.6666666666667
29,1771.6666666666667
30,1771.6666666666667
31,1771.6666666666667
32,1771.6666666666667
33,1771.6666666666667
34,1771.6666666666667
35,1771.6666666666667
36,1771.6666666666667
37,1771.6666666666667
38,1771.6666666666667
39,1771.6666666666667
40,1771.6666666666667
41,1771.6666666666667
42,1771.6666666666667
43,1771.6666666666667
44,1771.6666666666667
45,1771.6666666666667
46,1771.6666666666667
47,1771.6666666666667
48,1771.6666666666667
49,1767.0
50,1767.0
51,1767.0
52,1767.0
53,1767.0
54,1767.0
55,1767.0
56,1767.0
57,1767.0
58,1767.0
59,1767.0
60,1767.0
61,1767.0
62,1767.0
63,1767.0
64,1767.0
65,1767.0
66,1767.0
67,1767.0
68,1767.0
69,1767.0
70,1767.0
71,1767.0
72,1767.0
73,1767.0
74,1767.0
75,1767.0
76,1767.0
77,1767.0
78,1767.0
79,1767.0
80,1767.0
81,1767.0
82,1767.0
83,1767.0
84,1767.0
85,1767.0
86,1767.0
87,1767.0
88,1767.0
89,1767.0
90,1767.0
91,1767.0
92,1767.0
93,1767.0
94,1767.0
95,1767.0
96,1767.0
97,1767.0
98,1767.0
99,1767.0
100,1767.0
101,1767.0
102,1767.0
103,1767.0
104,1767.0
105,1765.3333333333333
106,1765.3333333333333
107,1765.3333333333333
108,1765.3333333333333
109,1765.3333333333333
110,1765.3333333333333
111,1765.3333333333333
112,1765.3333333333333
113,1765.3333333333333
114,1765.3333333333333
115,1765.3333333333333
116,1765.3333333333333
117,1765.3333333333333
118,1765.3333333333333
119,1765.3333333333333
120,1765.3333333333333
121,1765.3333333333333
122,1765.3333333333333
123,1765.3333333333333
124,1765.3333333333333
125,1765.3333333333333
126,1765.3333333333333
127,1765.3333333333333
128,1765.3333333333333
129,1765.3333333333333
130,1765.3333333333333
131,1765.3333333333333
132,1765.3333333333333
133,1765.3333333333333
134,1765.3333333333333
135,1765.3333333333333
136,1765.3333333333333
137,1765.3333333333333
138,1765.3333333333333
139,1765.3333333333333
140,1765.3333333333333
141,1765.3333333333333
142,1765.3333333333333
143,1765.3333333333333
144,1765.3333333333333
145,1765.3333333333333
146,1765.3333333333333
147,1765.3333333333333
148,1765.3333333333333
149,1765.3333333333333
150,1765.3333333333333
151,1765.3333333333333
152,1765.3333333333333
153,1765.3333333333333
154,1765.3333333333333
155,1765.3333333333333
156,1765.3333333333333
157,1765.3333333333333
158,1765.3333333333333
159,1765.3333333333333
160,1765.3333333333333
161,1765.3333333333333
162,1765.3333333333333
163,1765.3333333333333
164,1765.3333333333333
165,1765.3333333333333
166,1765.3333333333333
167,1765.3333333333333
168,1765.3333333333333
169,1765.3333333333333
170,1765.3333333333333
171,1765.3333333333333
172,1765.3333333333333
173,1765.3333333333333
174,1765.3333333333333
175,1765.3333333333333
176,1737.0
177,1737.0
178,1737.0
179,1737.0
180,1737.0
181,1737.0
182,1737.0
183,1737.0
184,1737.0
185,1737.0
186,1737.0
187,1737.0
188,1737.0
189,1737.0
190,1737.0
191,1737.0
192,1737.0
193,1737.0
194,1735.6666666666667
195,1735.6666666666667
196,1735.6666666666667
197,1735.6666666666667
198,1735.6666666666667
199,1735.6666666666667
200,1735.6666666666667
201,1735.6666666666667
202,1735.6666666666667
203,1735.6666666666667
204,1735.6666666666667
205,1735.6666666666667
206,1735.6666666666667
207,1735.6666666666667
208,1735.6666666666667
209,1735.6666666666667
210,1735.6666666666667
211,1735.6666666666667
212,1735.6666666666667
213,1735.6666666666667
214,1735.6666666666667
215,1735.6666666666667
216,1735.6666666666667
217,1735.6666666666667
218,1735.6666666666667
219,1735.6666666666667
220,1735.6666666666667
221,1735.6666666666667
222,1735.6666666666667
223,1735.6666666666667
224,1735.6666666666667
225,1735.6666666666667
226,1735.6666666666667
227,1735.6666666666667
228,1735.6666666666667
229,1735.6666666666667
230,1735.6666666666667
231,1735.6666666666667
232,1735.6666666666667
233,1735.6666666666667
234,1735.6666666666667
235,1735.6666666666667
236,1735.6666666666667
237,1735.6666666666667
238,1735.6666666666667
239,1735.6666666666667
240,1735.6666666666667
241,1735.6666666666667
242,1735.6666666666667
243,1735.6666666666667
244,1735.6666666666667
245,1735.6666666666667
246,1735.6666666666667
247,1735.6666666666667
248,1735.6666666666667
249,1735.6666666666667
250,1735.6666666666667
251,1735.6666666666667
252,1735.6666666666667
253,1735.6666666666667
254,1718.6666666666667
255,1718.6666666666667
256,1718.6666666666667
257,1718.6666666666667
258,1718.6666666666667
259,1718.6666666666667
260,1718.6666666666667
261,1718.6666666666667
262,1718.6666666666667
263,1718.6666666666667
264,1718.6666666666667
265,1718.6666666666667
266,1718.6666666666667
267,1718.6666666666667
268,1718.6666666666667
269,1718.6666666666667
270,1718.6666666666667
271,1718.6666666666667
272,1718.6666666666667
273,1718.6666666666667
274,1718.6666666666667
275,1718.6666666666667
276,1718.6666666666667
277,1718.6666666666667
278,1718.6666666666667
279,1718.6666666666667
280,1718.6666666666667
281,1718.6666666666667
282,1718.6666666666667
283,1718.6666666666667
284,1718.6666666666667
285,1718.6666666666667
286,1718.6666666666667
287,1718.6666666666667
288,1718.6666666666667
289,1718.6666666666667
290,1718.6666666666667
291,1718.6666666666667
292,1718.6666666666667
293,1718.6666666666667
294,1718.6666666666667
295,1718.6666666666667
296,1718.6666666666667
297,1718.6666666666667
298,1718.6666666666667
299,1718.6666666666667
300,1718.6666666666667
301,1718.6666666666667
302,1718.6666666666667
303,1718.6666666666667
304,1718.6666666666667
305,1718.6666666666667
306,1718.6666666666667
307,1718.6666666666667
308,1718.6666666666667
309,1718.6666666666667
310,1718.6666666666667
311,1718.6666666666667
312,1718.6666666666667
313,1718.6666666666667
314,1718.6666666666667
315,1718.6666666666667
316,1718.6666666666667
317,1718.6666666666667
318,1718.6666666666667
319,1718.6666666666667
320,1718.6666666666667
321,1718.6666666666667
322,1718.6666666666667
323,1718.6666666666667
324,1718.6666666666667
325,1718.6666666666667
326,1718.6666666666667
327,1718.6666666666667
328,1718.6666666666667
329,1718.6666666666667
330,1718.6666666666667
331,1718.6666666666667
332,1718.6666666666667
333,1718.6666666666667
334,1718.6666666666667
335,1718.6666666666667
336,1718.6666666666667
337,1718.6666666666667
338,1718.6666666666667
339,1718.6666666666667
340,1718.6666666666667
341,1718.6666666666667
342,1718.6666666666667
343,1718.6666666666667
344,1718.6666666666667
345,1718.6666666666667
346,1718.6666666666667
347,1718.6666666666667
348,1718.6666666666667
349,1718.6666666666667
350,1718.6666666666667
351,1718.6666666666667
352,1718.6666666666667
353,1718.6666666666667
354,1718.6666666666667
355,1718.6666666666667
356,1718.6666666666667
357,1718.6666666666667
358,1718.6666666666667
359,1718.6666666666667
360,1718.6666666666667
361,1718.6666666666667
362,1718.6666666666667
363,1718.6666666666667
364,1718.6666666666667
365,1718.6666666666667
366,1718.6666666666667
367,1718.6666666666667
368,1718.6666666666667
369,1718.6666666666667
370,1718.6666666666667
371,1718.6666666666667
372,1718.6666666666667
373,1718.6666666666667
374,1718.6666666666667
375,1718.6666666666667
376,1718.6666666666667
377,1718.6666666666667
378,1718.6666666666667
379,1718.6666666666667
380,1718.6666666666667
381,1718.6666666666667
382,1718.6666666666667
383,1718.6666666666667
384,1718.6666666666667
385,1718.6666666666667
386,1718.6666666666667
