current_time,current_linkID,current_velocity
12:00:00,_p01545,0.9837966983051173
12:00:00,_p00095,0.0
12:00:00,_p01404,0.0
12:00:00,_p01900,0.0
12:00:00,_p00095,0.0
12:00:00,_p00565,0.0
12:00:00,_p01373,0.0
12:00:00,_p00095,0.0
12:00:00,_p01524,0.0
12:00:00,_p00006,0.0
12:00:00,_p01660,0.0
12:00:00,_p01120,0.0
12:00:00,_p01946,0.0
12:00:00,_p00485,0.0
12:00:00,_p00520,0.0
12:00:00,_p01509,0.0
12:00:00,_p00433,0.0
12:00:00,_p00214,0.0
12:00:00,_p00378,0.9837966983051173
12:00:00,_p02306,0.0
12:00:00,_p01060,0.0
12:00:00,_p01489,0.0
12:00:00,_p00432,0.0
12:00:00,_p01900,0.0
12:00:00,_p01911,0.0
12:00:00,_p00130,0.0
12:00:00,_p01798,0.0
12:00:00,_p00045,0.0
12:00:00,_p01689,0.0
12:00:00,_p01119,0.0
12:00:00,_p00747,0.0
12:00:00,_p01464,0.0
12:00:00,_p11665,0.9837966983051173
12:00:00,_p00832,0.0
12:00:00,_p00010,0.0
12:00:00,_p00489,0.0
12:00:00,_p02342,0.0
12:00:00,_p01664,0.0
12:00:00,_p01708,0.0
12:00:00,_p01899,0.0
12:00:00,_p01807,0.9837966983051173
12:00:00,_p00367,0.0
12:00:00,_p01431,0.0
12:00:00,_p01692,0.0
12:00:00,_p01708,0.0
12:00:00,_p01494,0.0
12:00:00,_p01708,0.0
12:00:00,_p00903,0.0
12:00:00,_p01798,0.0
12:00:00,_p01692,0.0
12:00:00,_p00401,0.9837966983051173
12:00:00,_p01192,0.0
12:00:00,_p01068,0.0
12:00:00,_p00273,0.0
12:00:00,_p00898,0.9837966983051173
12:00:00,_p00273,0.0
12:00:00,_p01765,0.0
12:00:00,_p00913,0.0
12:00:00,_p00621,0.0
12:00:00,_p01101,0.0
12:00:00,_p00913,0.0
12:00:00,_p01539,0.9837966983051173
12:00:00,_p00670,0.0
12:00:00,_p00827,0.0
12:00:00,_p01539,0.9837966983051173
12:00:00,_p01930,0.0
12:00:00,_p00091,0.0
12:00:00,_p01738,0.9837966983051173
12:00:00,_p01072,0.0
12:00:00,_p00091,0.0
12:00:00,_p10354,0.9837966983051173
12:00:00,_p00095,0.0
12:00:00,_p01886,0.0
12:00:00,_p02880,0.0
12:00:00,_p01120,0.0
12:00:00,_p00903,0.0
12:00:00,_p01939,0.0
12:00:00,_p01440,0.0
12:00:00,_p01798,0.0
12:00:00,_p00110,0.0
12:00:00,_p01352,0.0
12:00:00,_p01545,0.9837966983051173
12:00:00,_p01783,0.0
