Link ID: _y392, current_velocityが0の割合: 0.41, 出現回数: 2921
Link ID: _y662, current_velocityが0の割合: 0.40, 出現回数: 2770
Link ID: _y761, current_velocityが0の割合: 0.40, 出現回数: 3041
Link ID: _y648, current_velocityが0の割合: 0.40, 出現回数: 180
Link ID: _y925, current_velocityが0の割合: 0.40, 出現回数: 1687
Link ID: _y509, current_velocityが0の割合: 0.40, 出現回数: 648
Link ID: _y658, current_velocityが0の割合: 0.39, 出現回数: 1907
Link ID: _y927, current_velocityが0の割合: 0.39, 出現回数: 1940
Link ID: _y924, current_velocityが0の割合: 0.39, 出現回数: 380
Link ID: _y763, current_velocityが0の割合: 0.39, 出現回数: 726
Link ID: _y682, current_velocityが0の割合: 0.38, 出現回数: 1022
Link ID: _y737, current_velocityが0の割合: 0.38, 出現回数: 422
Link ID: _y586, current_velocityが0の割合: 0.38, 出現回数: 303
Link ID: _y064, current_velocityが0の割合: 0.38, 出現回数: 1955
Link ID: _y289, current_velocityが0の割合: 0.38, 出現回数: 2334
Link ID: _y421, current_velocityが0の割合: 0.38, 出現回数: 284
Link ID: _y506, current_velocityが0の割合: 0.37, 出現回数: 2105
Link ID: _y657, current_velocityが0の割合: 0.37, 出現回数: 1695
Link ID: _y740, current_velocityが0の割合: 0.37, 出現回数: 457
Link ID: _y675, current_velocityが0の割合: 0.37, 出現回数: 474
Link ID: _y852, current_velocityが0の割合: 0.37, 出現回数: 101
Link ID: _y578, current_velocityが0の割合: 0.37, 出現回数: 1113
Link ID: _y340, current_velocityが0の割合: 0.35, 出現回数: 79
Link ID: _y318, current_velocityが0の割合: 0.35, 出現回数: 337
Link ID: _y592, current_velocityが0の割合: 0.35, 出現回数: 1380
Link ID: _y140, current_velocityが0の割合: 0.35, 出現回数: 2722
Link ID: _y784, current_velocityが0の割合: 0.34, 出現回数: 658
Link ID: _y549, current_velocityが0の割合: 0.34, 出現回数: 175
Link ID: _y020, current_velocityが0の割合: 0.33, 出現回数: 251
Link ID: _y886, current_velocityが0の割合: 0.33, 出現回数: 3488
Link ID: _y575, current_velocityが0の割合: 0.33, 出現回数: 369
Link ID: _y607, current_velocityが0の割合: 0.33, 出現回数: 12
Link ID: _y231, current_velocityが0の割合: 0.33, 出現回数: 347
Link ID: _y450, current_velocityが0の割合: 0.33, 出現回数: 154
Link ID: _y556, current_velocityが0の割合: 0.33, 出現回数: 701
Link ID: _y480, current_velocityが0の割合: 0.33, 出現回数: 3234
Link ID: _y869, current_velocityが0の割合: 0.32, 出現回数: 1997
Link ID: _y182, current_velocityが0の割合: 0.32, 出現回数: 185
Link ID: _y620, current_velocityが0の割合: 0.32, 出現回数: 285
Link ID: _y854, current_velocityが0の割合: 0.32, 出現回数: 6547
Link ID: _y595, current_velocityが0の割合: 0.31, 出現回数: 423
Link ID: _y418, current_velocityが0の割合: 0.31, 出現回数: 87
Link ID: _y327, current_velocityが0の割合: 0.31, 出現回数: 6979
Link ID: _y507, current_velocityが0の割合: 0.31, 出現回数: 113
Link ID: _y248, current_velocityが0の割合: 0.31, 出現回数: 39
Link ID: _y321, current_velocityが0の割合: 0.31, 出現回数: 5269
Link ID: _y039, current_velocityが0の割合: 0.30, 出現回数: 1403
Link ID: _y959, current_velocityが0の割合: 0.30, 出現回数: 89
Link ID: _y323, current_velocityが0の割合: 0.30, 出現回数: 606
Link ID: _y273, current_velocityが0の割合: 0.30, 出現回数: 1101
Link ID: _y616, current_velocityが0の割合: 0.29, 出現回数: 1722
Link ID: _y739, current_velocityが0の割合: 0.29, 出現回数: 2388
Link ID: _y432, current_velocityが0の割合: 0.29, 出現回数: 4109
Link ID: _y775, current_velocityが0の割合: 0.29, 出現回数: 655
Link ID: _y926, current_velocityが0の割合: 0.29, 出現回数: 2360
Link ID: _y526, current_velocityが0の割合: 0.29, 出現回数: 2334
Link ID: _y217, current_velocityが0の割合: 0.29, 出現回数: 21
Link ID: _y525, current_velocityが0の割合: 0.28, 出現回数: 4211
Link ID: _y686, current_velocityが0の割合: 0.28, 出現回数: 1287
Link ID: _y570, current_velocityが0の割合: 0.28, 出現回数: 47
Link ID: _y012, current_velocityが0の割合: 0.28, 出現回数: 596
Link ID: _y703, current_velocityが0の割合: 0.27, 出現回数: 452
Link ID: _y072, current_velocityが0の割合: 0.27, 出現回数: 62
Link ID: _y206, current_velocityが0の割合: 0.27, 出現回数: 11
Link ID: _y853, current_velocityが0の割合: 0.27, 出現回数: 180
Link ID: _y079, current_velocityが0の割合: 0.27, 出現回数: 30542
Link ID: _y458, current_velocityが0の割合: 0.27, 出現回数: 2506
Link ID: _y778, current_velocityが0の割合: 0.27, 出現回数: 996
Link ID: _y856, current_velocityが0の割合: 0.26, 出現回数: 694
Link ID: _y153, current_velocityが0の割合: 0.26, 出現回数: 1784
Link ID: _y689, current_velocityが0の割合: 0.25, 出現回数: 1275
Link ID: _y560, current_velocityが0の割合: 0.25, 出現回数: 536
Link ID: _y576, current_velocityが0の割合: 0.25, 出現回数: 209
Link ID: _y195, current_velocityが0の割合: 0.25, 出現回数: 4
Link ID: _y242, current_velocityが0の割合: 0.25, 出現回数: 12
Link ID: _y470, current_velocityが0の割合: 0.25, 出現回数: 52
Link ID: _y697, current_velocityが0の割合: 0.25, 出現回数: 618
Link ID: _y889, current_velocityが0の割合: 0.25, 出現回数: 1500
Link ID: _y1120, current_velocityが0の割合: 0.25, 出現回数: 1395
Link ID: _y754, current_velocityが0の割合: 0.24, 出現回数: 42
Link ID: _y947, current_velocityが0の割合: 0.24, 出現回数: 21
Link ID: _y514, current_velocityが0の割合: 0.24, 出現回数: 267
Link ID: _y1138, current_velocityが0の割合: 0.23, 出現回数: 724
Link ID: _y429, current_velocityが0の割合: 0.23, 出現回数: 23976
Link ID: _y409, current_velocityが0の割合: 0.23, 出現回数: 786
Link ID: _y623, current_velocityが0の割合: 0.23, 出現回数: 1039
Link ID: _y455, current_velocityが0の割合: 0.23, 出現回数: 613
Link ID: _y890, current_velocityが0の割合: 0.22, 出現回数: 850
Link ID: _y498, current_velocityが0の割合: 0.22, 出現回数: 201
Link ID: _y186, current_velocityが0の割合: 0.22, 出現回数: 2208
Link ID: _y692, current_velocityが0の割合: 0.22, 出現回数: 6117
Link ID: _y609, current_velocityが0の割合: 0.22, 出現回数: 1067
Link ID: _y415, current_velocityが0の割合: 0.21, 出現回数: 691
Link ID: _y1105, current_velocityが0の割合: 0.21, 出現回数: 38
Link ID: _y705, current_velocityが0の割合: 0.21, 出現回数: 262
Link ID: _y1042, current_velocityが0の割合: 0.21, 出現回数: 81
Link ID: _y494, current_velocityが0の割合: 0.21, 出現回数: 572
Link ID: _y1113, current_velocityが0の割合: 0.21, 出現回数: 86
Link ID: _y684, current_velocityが0の割合: 0.21, 出現回数: 144
Link ID: _y209, current_velocityが0の割合: 0.21, 出現回数: 63
Link ID: _y1084, current_velocityが0の割合: 0.20, 出現回数: 5
Link ID: _y093, current_velocityが0の割合: 0.20, 出現回数: 5137
Link ID: _y698, current_velocityが0の割合: 0.20, 出現回数: 4072
Link ID: _y579, current_velocityが0の割合: 0.20, 出現回数: 41
