Link ID: _y494, current_velocityが0の割合: 0.15, 出現回数: 324
Link ID: _y705, current_velocityが0の割合: 0.15, 出現回数: 196
Link ID: _y023, current_velocityが0の割合: 0.15, 出現回数: 293
Link ID: _y288, current_velocityが0の割合: 0.15, 出現回数: 362
Link ID: _y789, current_velocityが0の割合: 0.14, 出現回数: 43
Link ID: _y956, current_velocityが0の割合: 0.14, 出現回数: 395
Link ID: _y012, current_velocityが0の割合: 0.14, 出現回数: 705
Link ID: _y404, current_velocityが0の割合: 0.14, 出現回数: 74
Link ID: _y238, current_velocityが0の割合: 0.13, 出現回数: 60
Link ID: _y359, current_velocityが0の割合: 0.13, 出現回数: 60
Link ID: _y555, current_velocityが0の割合: 0.13, 出現回数: 135
Link ID: _y675, current_velocityが0の割合: 0.13, 出現回数: 45
Link ID: _y197, current_velocityが0の割合: 0.13, 出現回数: 323
Link ID: _y277, current_velocityが0の割合: 0.13, 出現回数: 46
Link ID: _y919, current_velocityが0の割合: 0.13, 出現回数: 468
Link ID: _y934, current_velocityが0の割合: 0.13, 出現回数: 247
Link ID: _y236, current_velocityが0の割合: 0.13, 出現回数: 1059
Link ID: _y926, current_velocityが0の割合: 0.13, 出現回数: 1849
Link ID: _y921, current_velocityが0の割合: 0.13, 出現回数: 785
Link ID: _y625, current_velocityが0の割合: 0.13, 出現回数: 158
Link ID: _y1136, current_velocityが0の割合: 0.12, 出現回数: 144
Link ID: _y217, current_velocityが0の割合: 0.12, 出現回数: 8
Link ID: _y242, current_velocityが0の割合: 0.12, 出現回数: 8
Link ID: _y264, current_velocityが0の割合: 0.12, 出現回数: 637
Link ID: _y171, current_velocityが0の割合: 0.12, 出現回数: 493
Link ID: _y489, current_velocityが0の割合: 0.12, 出現回数: 859
Link ID: _y074, current_velocityが0の割合: 0.12, 出現回数: 146
Link ID: _y1127, current_velocityが0の割合: 0.12, 出現回数: 131
Link ID: _y557, current_velocityが0の割合: 0.12, 出現回数: 222
Link ID: _y153, current_velocityが0の割合: 0.12, 出現回数: 815
Link ID: _y1113, current_velocityが0の割合: 0.12, 出現回数: 25
Link ID: _y637, current_velocityが0の割合: 0.12, 出現回数: 25
Link ID: _y734, current_velocityが0の割合: 0.12, 出現回数: 50
Link ID: _y260, current_velocityが0の割合: 0.12, 出現回数: 167
Link ID: _y931, current_velocityが0の割合: 0.12, 出現回数: 92
Link ID: _y327, current_velocityが0の割合: 0.12, 出現回数: 4733
Link ID: _y703, current_velocityが0の割合: 0.12, 出現回数: 85
Link ID: _y763, current_velocityが0の割合: 0.12, 出現回数: 68
Link ID: _y771, current_velocityが0の割合: 0.12, 出現回数: 34
Link ID: _y411, current_velocityが0の割合: 0.12, 出現回数: 257
Link ID: _y871, current_velocityが0の割合: 0.12, 出現回数: 1595
Link ID: _y509, current_velocityが0の割合: 0.11, 出現回数: 70
Link ID: _y525, current_velocityが0の割合: 0.11, 出現回数: 494
Link ID: _y331, current_velocityが0の割合: 0.11, 出現回数: 90
Link ID: _y340, current_velocityが0の割合: 0.11, 出現回数: 9
Link ID: _y353, current_velocityが0の割合: 0.11, 出現回数: 36
Link ID: _y624, current_velocityが0の割合: 0.11, 出現回数: 126
Link ID: _y710, current_velocityが0の割合: 0.11, 出現回数: 55
Link ID: _y477, current_velocityが0の割合: 0.11, 出現回数: 92
Link ID: _y776, current_velocityが0の割合: 0.11, 出現回数: 75
Link ID: _y498, current_velocityが0の割合: 0.11, 出現回数: 38
Link ID: _y932, current_velocityが0の割合: 0.10, 出現回数: 1043
Link ID: _y681, current_velocityが0の割合: 0.10, 出現回数: 118
Link ID: _y667, current_velocityが0の割合: 0.10, 出現回数: 20
Link ID: _y615, current_velocityが0の割合: 0.10, 出現回数: 297
Link ID: _y1076, current_velocityが0の割合: 0.10, 出現回数: 31
Link ID: _y514, current_velocityが0の割合: 0.10, 出現回数: 83
Link ID: _y076, current_velocityが0の割合: 0.10, 出現回数: 853
Link ID: _y293, current_velocityが0の割合: 0.09, 出現回数: 222
Link ID: _y309, current_velocityが0の割合: 0.09, 出現回数: 351
Link ID: _y890, current_velocityが0の割合: 0.09, 出現回数: 291
Link ID: _y168, current_velocityが0の割合: 0.09, 出現回数: 108
Link ID: _y998, current_velocityが0の割合: 0.09, 出現回数: 11
Link ID: _y955, current_velocityが0の割合: 0.09, 出現回数: 287
Link ID: _y937, current_velocityが0の割合: 0.09, 出現回数: 1796
Link ID: _y526, current_velocityが0の割合: 0.09, 出現回数: 984
Link ID: _y756, current_velocityが0の割合: 0.09, 出現回数: 393
Link ID: _y1134, current_velocityが0の割合: 0.09, 出現回数: 135
Link ID: _y268, current_velocityが0の割合: 0.09, 出現回数: 137
Link ID: _y164, current_velocityが0の割合: 0.09, 出現回数: 46
Link ID: _y898, current_velocityが0の割合: 0.09, 出現回数: 922
