GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00497,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00239,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01113,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01038,12:00:00,0,12:00:06,6,00:00:06,6
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag02957,12:00:00,0,12:00:08,8,00:00:08,8
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01199,12:00:00,0,12:00:08,8,00:00:08,8
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag03339,12:00:00,0,12:00:08,8,00:00:08,8
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04438,12:00:00,0,12:00:08,8,00:00:08,8
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag10105,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag965" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01836,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01855,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01815,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag00327,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag965" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01477,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag965" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01386,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04749,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04631,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag23" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04206,12:00:00,0,12:00:09,9,00:00:09,9
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04887,12:00:00,0,12:00:10,10,00:00:10,10
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04844,12:00:00,0,12:00:10,10,00:00:10,10
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag04686,12:00:00,0,12:00:10,10,00:00:10,10
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag204" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag05109,12:00:00,0,12:00:10,10,00:00:10,10
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag608" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag01597,12:00:00,0,12:00:12,12,00:00:12,12
{"rule":"EACH" "agentType":{"className":"NaiveAgent"} "speedModel":"CROSSING" "startPlace":"Node_tag965" "startTime":"12:00:00" "duration":1 "total":1 "goal":"goal"},ag02654,12:00:00,0,12:00:12,12,00:00:12,12
