Iteration,time
1,1590.2
2,1586.0
3,1586.0
4,1585.4
5,1585.4
6,1585.4
7,1585.4
8,1583.0
9,1583.0
10,1583.0
11,1583.0
12,1577.2
13,1577.2
14,1577.2
15,1577.2
16,1577.2
17,1576.4
18,1576.4
19,1576.4
20,1576.4
21,1576.4
22,1576.4
23,1576.4
24,1576.4
25,1576.4
26,1576.4
27,1569.6
28,1569.6
29,1569.6
30,1567.8
31,1567.8
32,1567.8
33,1567.8
34,1567.8
35,1567.8
36,1567.8
37,1567.8
38,1567.8
39,1567.8
40,1564.4
41,1564.4
42,1564.4
43,1564.4
44,1564.4
45,1564.4
46,1564.4
47,1564.4
48,1564.4
49,1562.8
50,1561.8
51,1561.8
52,1561.8
53,1560.8
54,1560.8
55,1560.8
56,1560.8
57,1556.8
58,1556.8
59,1556.8
60,1556.8
61,1556.8
62,1556.8
63,1556.8
64,1555.8
65,1555.8
66,1555.8
67,1555.8
68,1555.8
69,1555.8
70,1555.8
71,1555.8
72,1555.8
73,1555.8
74,1555.8
75,1555.8
76,1555.8
77,1555.8
78,1555.8
79,1555.8
80,1555.8
81,1555.8
82,1555.8
83,1555.8
84,1555.8
85,1555.8
86,1555.8
87,1555.8
88,1555.8
89,1555.8
90,1555.8
91,1555.8
92,1555.8
93,1555.8
94,1555.8
95,1555.8
96,1555.8
97,1555.8
98,1555.8
99,1555.8
100,1555.8
101,1555.8
102,1555.8
103,1555.8
104,1555.8
105,1555.8
106,1555.8
107,1555.8
108,1555.8
109,1555.8
110,1555.8
111,1551.2
112,1551.2
113,1551.2
114,1551.2
115,1551.2
116,1551.2
117,1551.2
118,1551.2
119,1551.2
120,1551.2
121,1551.2
122,1551.2
123,1551.2
124,1551.2
125,1551.2
126,1551.2
127,1551.2
128,1551.2
129,1551.2
130,1551.2
131,1551.2
132,1551.2
133,1551.2
134,1551.2
135,1551.2
136,1551.2
137,1551.2
138,1551.2
139,1551.2
140,1551.2
141,1551.2
142,1551.2
143,1551.2
144,1551.2
145,1551.2
146,1551.2
147,1551.2
148,1551.2
149,1551.2
150,1551.2
151,1551.2
152,1551.2
153,1551.2
154,1551.2
155,1551.2
156,1551.2
157,1551.2
158,1551.2
159,1551.2
160,1551.2
161,1551.2
162,1551.2
163,1551.2
164,1551.2
165,1551.2
166,1551.2
167,1551.2
168,1551.2
169,1551.2
170,1551.2
171,1551.2
172,1551.2
173,1551.2
174,1551.2
175,1551.2
176,1551.2
177,1551.2
178,1551.2
179,1551.2
180,1550.4
181,1550.4
182,1550.4
183,1550.4
184,1550.4
185,1550.4
186,1550.4
187,1550.4
188,1550.4
189,1550.4
190,1550.4
191,1550.4
192,1550.4
193,1550.4
194,1550.4
195,1550.4
196,1550.4
197,1550.4
198,1550.4
199,1550.4
200,1550.4
201,1550.4
202,1550.4
203,1550.4
204,1550.4
205,1550.4
206,1550.4
207,1550.4
208,1550.4
209,1550.4
210,1550.4
211,1550.4
212,1550.4
213,1550.4
214,1550.4
215,1550.4
216,1550.4
217,1550.4
218,1550.4
219,1550.4
220,1550.4
221,1550.4
222,1550.4
223,1550.4
224,1550.4
225,1550.4
226,1550.4
227,1550.4
228,1550.4
229,1550.4
230,1550.4
231,1550.4
232,1548.2
233,1548.2
234,1548.2
235,1548.2
236,1548.2
237,1548.2
238,1548.2
239,1548.2
240,1548.2
241,1548.2
242,1548.2
243,1548.2
244,1548.2
245,1548.2
246,1548.2
247,1548.2
248,1548.2
249,1548.2
250,1548.2
251,1548.2
252,1548.2
253,1548.2
254,1548.2
255,1547.2
256,1547.2
257,1547.2
258,1547.2
259,1547.2
260,1547.2
261,1547.2
262,1547.2
263,1547.2
264,1547.2
265,1547.2
266,1547.2
267,1547.2
268,1547.2
269,1547.2
270,1547.2
271,1547.2
272,1547.2
273,1547.2
274,1547.2
275,1547.2
276,1547.2
277,1547.2
278,1547.2
279,1547.2
280,1547.2
281,1547.2
282,1547.2
283,1547.2
284,1547.2
285,1547.2
286,1547.2
287,1547.2
288,1547.2
289,1547.2
290,1547.2
291,1547.2
292,1547.2
293,1547.2
294,1547.2
295,1547.2
296,1547.2
297,1547.2
298,1547.2
299,1547.2
300,1547.2
301,1547.2
302,1547.2
303,1547.2
304,1547.2
305,1547.2
306,1547.2
307,1547.2
308,1547.2
309,1547.2
310,1547.2
311,1547.2
312,1547.2
313,1547.2
314,1547.2
315,1547.2
316,1547.2
317,1547.2
318,1547.2
319,1547.2
320,1547.2
321,1547.2
322,1547.2
323,1547.2
324,1547.2
325,1547.2
326,1538.4
327,1538.4
328,1538.4
329,1538.4
330,1538.4
331,1538.4
332,1538.4
333,1538.4
334,1538.4
335,1538.2
336,1537.8
337,1537.8
338,1537.8
339,1537.8
340,1537.8
341,1537.8
342,1537.8
343,1537.8
344,1537.8
345,1537.8
346,1537.8
347,1537.8
348,1537.8
349,1537.8
350,1537.8
351,1537.8
352,1537.8
353,1537.8
354,1537.8
355,1537.8
356,1537.8
357,1537.8
358,1537.8
359,1537.8
360,1537.8
361,1537.8
362,1537.8
363,1537.8
364,1537.8
365,1537.8
366,1537.8
367,1537.8
368,1537.8
369,1537.8
370,1537.8
371,1537.8
372,1537.8
373,1537.8
374,1537.8
375,1537.8
376,1537.8
377,1537.8
378,1537.8
379,1537.8
380,1537.8
381,1537.8
382,1537.8
383,1537.8
384,1537.8
385,1537.8
386,1537.8
387,1537.8
388,1537.8
389,1537.8
390,1537.8
391,1537.8
392,1537.8
393,1537.8
394,1537.8
395,1537.8
396,1537.8
397,1537.8
398,1537.8
399,1537.8
400,1537.8
401,1537.8
402,1537.8
403,1537.8
404,1537.8
405,1537.8
406,1537.8
407,1537.8
408,1537.8
409,1537.8
410,1537.8
411,1537.8
412,1537.8
413,1537.8
414,1537.8
415,1537.8
416,1537.8
417,1537.8
418,1537.8
419,1537.8
420,1537.8
421,1537.8
422,1537.8
423,1537.8
424,1537.8
425,1537.8
426,1537.8
427,1537.8
428,1537.8
429,1537.8
430,1537.8
431,1537.8
432,1537.8
433,1537.8
434,1537.8
435,1537.8
436,1537.8
437,1537.8
438,1537.8
439,1537.8
440,1537.2
441,1537.2
442,1537.2
443,1537.2
444,1537.2
445,1537.2
446,1537.2
447,1537.2
448,1537.2
449,1537.2
450,1537.2
451,1537.2
452,1537.2
453,1537.2
454,1537.2
455,1537.2
456,1537.2
457,1537.2
458,1537.2
459,1537.2
460,1537.2
461,1537.2
462,1537.2
463,1537.2
464,1537.2
465,1537.2
466,1537.2
467,1537.2
468,1537.2
469,1537.2
470,1537.2
471,1537.2
472,1537.2
473,1537.2
474,1537.2
475,1537.2
476,1537.2
477,1537.2
478,1537.2
479,1537.2
480,1537.2
481,1537.2
482,1537.2
483,1537.2
484,1537.2
485,1537.2
486,1537.2
487,1537.2
488,1537.2
489,1537.2
490,1537.2
491,1537.2
492,1537.2
493,1537.2
494,1537.2
495,1537.2
496,1537.2
497,1537.2
498,1537.2
499,1537.2
500,1537.2
501,1537.2
502,1537.2
503,1537.2
504,1537.2
505,1537.2
506,1537.2
507,1537.2
508,1537.2
509,1537.2
510,1537.2
511,1537.2
512,1537.2
513,1537.2
514,1537.2
515,1537.2
516,1537.2
517,1537.2
518,1537.2
519,1537.2
520,1537.2
521,1537.2
522,1537.2
523,1537.2
524,1537.2
525,1537.2
526,1537.2
527,1537.2
528,1537.2
529,1537.2
530,1537.2
531,1537.2
532,1537.2
533,1537.2
534,1537.2
535,1537.2
536,1537.2
537,1537.2
538,1537.2
539,1537.2
540,1537.2
541,1537.2
542,1537.2
543,1537.2
544,1537.2
545,1537.2
546,1537.0
547,1537.0
548,1537.0
549,1537.0
550,1537.0
551,1537.0
552,1537.0
553,1537.0
554,1537.0
555,1537.0
556,1537.0
557,1537.0
558,1537.0
559,1537.0
560,1537.0
561,1537.0
562,1537.0
563,1537.0
564,1537.0
565,1537.0
566,1537.0
567,1537.0
568,1537.0
569,1537.0
570,1537.0
571,1537.0
572,1537.0
573,1537.0
574,1537.0
575,1537.0
576,1537.0
577,1537.0
578,1537.0
579,1537.0
580,1537.0
581,1537.0
582,1537.0
583,1537.0
584,1537.0
585,1537.0
586,1537.0
587,1537.0
588,1537.0
589,1537.0
590,1537.0
591,1537.0
592,1537.0
593,1537.0
594,1537.0
595,1537.0
596,1537.0
597,1537.0
598,1537.0
599,1537.0
600,1537.0
601,1537.0
602,1537.0
603,1535.8
604,1535.8
605,1535.8
606,1535.8
607,1535.8
608,1535.8
609,1535.8
610,1535.8
611,1535.8
612,1535.8
613,1535.8
614,1535.8
615,1535.8
616,1535.8
617,1535.8
618,1535.8
619,1535.8
620,1535.8
621,1535.8
622,1535.8
623,1535.8
624,1535.8
625,1535.8
626,1535.8
627,1535.8
628,1535.8
629,1535.8
630,1535.8
631,1535.8
632,1535.8
633,1535.8
634,1535.8
635,1535.8
636,1535.8
637,1535.8
638,1535.8
639,1535.8
640,1535.8
641,1535.8
642,1535.8
643,1535.8
644,1535.8
645,1535.8
646,1535.8
647,1535.8
648,1535.8
649,1535.8
650,1535.8
651,1535.8
652,1535.8
653,1535.8
654,1535.8
655,1535.8
656,1535.8
657,1535.8
658,1535.8
659,1535.8
660,1535.8
661,1535.8
662,1535.8
663,1535.8
664,1535.8
665,1535.8
666,1535.8
667,1535.8
668,1535.8
669,1535.8
670,1535.8
671,1535.8
672,1535.8
673,1535.8
674,1535.8
675,1535.8
676,1535.8
677,1535.8
678,1535.8
679,1535.8
680,1535.8
681,1535.8
682,1535.8
683,1535.8
684,1535.8
685,1535.8
686,1535.8
687,1535.8
688,1535.8
689,1535.8
690,1535.8
691,1535.8
692,1535.8
693,1535.8
694,1535.8
695,1535.8
696,1535.8
697,1535.8
698,1535.8
699,1535.8
700,1535.8
701,1535.8
702,1535.8
703,1535.8
704,1535.8
705,1535.8
706,1535.8
707,1535.8
708,1535.8
709,1535.8
710,1535.8
711,1535.8
712,1535.8
713,1535.8
714,1535.8
715,1535.8
716,1535.8
717,1535.8
718,1535.8
719,1535.8
720,1535.2
721,1535.2
722,1535.2
723,1535.2
724,1535.2
725,1535.2
726,1535.2
727,1535.2
728,1535.2
729,1535.2
730,1535.2
731,1535.2
732,1535.2
733,1535.2
734,1535.2
735,1535.2
736,1535.2
737,1535.2
738,1535.2
739,1535.2
740,1535.2
741,1535.2
742,1535.2
743,1535.2
744,1535.2
745,1535.2
746,1535.2
747,1535.2
748,1535.2
749,1535.2
750,1535.2
751,1535.2
752,1535.2
753,1535.2
754,1535.2
755,1535.2
756,1535.2
757,1535.2
758,1535.2
759,1535.2
760,1535.2
761,1535.2
762,1535.2
763,1535.2
764,1535.2
765,1535.2
766,1535.2
767,1535.2
768,1535.2
769,1535.2
770,1535.2
771,1535.2
772,1535.2
773,1535.2
774,1535.2
775,1535.2
776,1535.2
777,1535.2
778,1535.2
779,1535.2
780,1535.2
781,1535.2
782,1535.2
783,1535.2
784,1535.2
785,1535.2
786,1535.2
787,1535.2
788,1535.2
789,1535.2
790,1535.2
791,1535.2
792,1535.2
793,1535.2
794,1535.2
795,1535.2
796,1535.2
797,1535.2
798,1535.2
799,1535.2
800,1535.2
801,1535.2
802,1535.2
803,1535.2
804,1535.2
805,1535.2
806,1535.2
807,1535.2
808,1535.2
809,1535.2
810,1535.2
811,1535.2
812,1535.2
813,1535.2
814,1535.2
815,1535.2
816,1535.2
817,1535.2
818,1535.2
819,1535.2
820,1535.2
821,1535.2
822,1535.2
823,1535.2
824,1535.2
825,1535.2
826,1535.2
827,1535.2
828,1535.2
829,1535.2
830,1535.2
831,1535.2
832,1535.2
833,1535.2
834,1535.2
835,1535.2
836,1535.2
837,1535.2
838,1535.2
839,1535.2
840,1535.2
841,1535.2
842,1535.2
843,1535.2
844,1535.2
845,1535.2
846,1535.2
847,1535.2
848,1535.2
849,1535.2
850,1535.2
851,1535.2
852,1535.2
853,1535.2
854,1535.2
855,1535.2
856,1535.2
857,1535.2
858,1535.2
859,1535.2
860,1535.2
861,1534.4
862,1534.4
863,1534.4
864,1534.4
865,1534.4
866,1534.4
867,1534.4
868,1534.4
869,1534.4
870,1534.4
871,1534.4
872,1534.4
873,1534.4
874,1534.4
875,1534.4
876,1534.4
877,1534.4
878,1534.4
879,1534.4
880,1534.4
881,1534.4
882,1534.4
883,1534.4
